mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_mean,pitch_std,zcr,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,native_language
-238.01518,62.769608,10.153078,15.141397,-10.833717,-12.761884,-5.518123,-15.468555,-11.325009,-12.563409,-8.59115,-8.51231,-8.983143,249.25761302107418,79.45442296078708,0.1801594012080671,23.16133810982331,19.319604936597585,21.52104281415474,19.351470158047547,19.291263954722,20.50715231021917,15.455838011131519,igbo
-192.21658,65.51135,6.414265,20.512493,-5.7998652,-8.648285,-14.589145,-24.58494,-12.152984,-12.907033,-14.573061,-9.085434,1.4415343,253.87535187100724,85.42203654763493,0.15297789162340256,23.238039198167904,18.76177456503087,22.351660909733923,17.847237197387777,18.84806412137243,19.22977274587994,15.070988205396235,igbo
-372.58536,68.96372,14.197846,12.523041,-3.021487,-0.6030502,-4.9238596,-1.7918769,-4.773875,-4.0949984,-1.6463045,-2.496289,-2.610087,315.4878540774909,175.12885952667625,0.05594765625,18.05049406002318,14.099119792434312,15.88717426665549,15.824520920823854,15.536986087322768,16.058628909560625,14.324100810243795,igbo
-176.34499,96.035355,1.976404,18.581717,3.1889265,-1.8789972,-1.7387891,-2.1302695,-5.4887056,2.1900148,-0.42256215,1.4747511,-1.8374286,266.26262044125406,143.124893523109,0.05950703125,17.9674931245881,16.360660931488322,18.37000544108987,17.381427342781773,17.224249830088617,17.29550454302158,14.762198356295244,igbo
-189.87767,59.547344,16.64211,6.8840985,-1.506874,2.4906957,1.9222887,-0.7784987,4.342275,2.1960087,0.19234648,3.271784,-2.4138052,309.1618160216097,181.4830380416951,0.102834375,19.414813663840786,15.842799875360095,16.278841667040343,17.11939178269502,17.40496035326202,17.257499985011087,17.710881792036968,igbo
-135.0816,35.95434,-18.658756,1.6385458,-10.928747,-5.297297,-13.405482,-4.0966086,-7.902097,-5.8142796,-3.3678465,-4.772743,-5.986768,315.67595390238137,140.92908462128554,0.22755856254992013,16.116705080423767,16.57175746798918,18.114223305300452,16.990781082535683,16.497781360565305,16.669774127509626,14.545775819395383,igbo
-277.22665,79.732285,19.718513,6.2448764,-1.5187802,5.8807244,-0.46478516,1.0804992,1.5772973,0.909042,-4.5874305,-1.7395382,2.6616228,226.73926654829674,132.07052016870608,0.13449730431309903,15.647159206732455,18.129390708348733,19.233267918055056,18.29151843591152,17.44423776501823,16.17851841490261,14.628917113985299,igbo
-242.32166,53.222225,-10.616062,-5.80364,-14.942578,-19.015919,-12.943958,-15.306704,-16.067844,-4.513818,-7.028035,-4.8895383,-3.8136435,302.1792727411101,156.6188351634706,0.11924296875,17.084680976183144,17.187482643703213,18.119369654915097,16.89710123700333,16.60345126936306,16.670607169483716,15.591805514406119,igbo
-263.13486,125.19804,11.02154,4.08945,-1.0771497,-7.484877,-24.360567,-2.2544036,-14.100456,-10.686454,-12.147395,-2.8515656,-7.9487357,195.209165669084,123.8563465538963,0.08810746555511183,23.095771813636027,16.731680088510895,19.65373633775248,19.649783315420333,21.944963313975524,19.354374195622327,15.919656735180531,igbo
-234.17921,56.058792,-13.475836,16.550184,-26.09287,-37.690712,-11.476153,-21.78881,-11.259648,-11.839784,-10.639973,-2.8027937,-7.8649397,270.3773583049324,92.4938570947034,0.16197443465455272,22.360655496353754,16.85479617618369,19.37154636007785,18.275475923888816,17.947497583315368,20.5673899681836,15.570141238179646,igbo
